,vocab,pos,def
597,third,數字,第三
598,thirsty,形容詞,口渴的
599,thirteen,數字,十三
600,thirty,數字,三十
601,this,限定詞,這個
602,those,限定詞,那些
603,three,數字,三
604,Thursday,名詞,星期四
605,ticket,名詞,票
606,tiger,名詞,老虎
607,time,名詞,時間
608,tired,形容詞,疲累的
609,to,介系詞,向、朝、對著
610,today,名詞,今天
611,together,副詞,一起
612,tomorrow,名詞,明天
613,too,副詞,1. 也；2. 太...
614,tooth,名詞,牙齒
615,toothache,名詞,牙痛
616,touch,動詞,觸碰
617,towel,名詞,毛巾
618,toy,名詞,玩具
619,train,名詞,火車
620,trash,名詞,垃圾
621,tree,名詞,樹
622,trip,名詞,（短程的）旅行
623,truck,名詞,卡車
624,try,動詞,嘗試
625,T-shirt,名詞,T 恤
626,Tuesday,名詞,星期二
627,turn,動詞,轉彎
628,turtle,名詞,烏龜
629,TV,名詞,電視 (= television)
630,twelve,數字,十二
631,twenty,數字,二十
632,two,數字,二
633,typhoon,名詞,颱風
634,umbrella,名詞,傘
635,uncle,名詞,叔叔、舅舅、姑丈、姨丈
636,under,介系詞,在...下方
637,up,介系詞,向上
638,us,代名詞,我們(受詞)
639,usually,副詞,通常
640,vacation,名詞,假期
641,very,副詞,非常
642,wait,動詞,等、等待
643,waiter,名詞,男服務生
644,waitress,名詞,女服務生
645,wake,動詞,醒來、喚醒
646,walk,動詞,走路
647,wall,名詞,牆壁
648,want,動詞,想要
649,warm,形容詞,溫暖的
650,wash,動詞,洗
651,watch,名詞,手錶
652,watch,動詞,看
653,water,名詞,水
654,watermelon,名詞,西瓜
655,way,名詞,路、方向
656,we,代名詞,我們
657,wear,動詞,穿、戴
658,weather,名詞,天氣
659,Wednesday,名詞,星期三
660,week,名詞,星期
661,welcome,動詞,歡迎
662,well,"形容詞, 副詞","好的, 健康地"
663,wet,形容詞,潮濕的
664,wet,形容詞,濕的
665,whale,名詞,鯨魚
666,what,代名詞,什麼...
667,when,副詞,何時...
668,where,副詞,在哪裡...
669,which,限定詞,哪一個...
670,white,形容詞,白色的
671,who,代名詞,誰...
672,whose,限定詞,誰的...
673,why,副詞,為什麼...
674,will,助動詞,將會
675,win,動詞,贏
676,wind,名詞,風
677,window,名詞,窗戶
678,windy,形容詞,風大的
679,winter,名詞,冬天
680,with,介系詞,和...一起
681,woman,名詞,女人
682,women,名詞,女人 (複數)
683,wonderful,形容詞,很棒的、精彩的
684,word,名詞,字
685,work,名詞,工作
686,worker,名詞,工作者
687,worry,動詞,擔心
688,write,動詞,寫
690,zebra,名詞,斑馬
691,zero,數字,零
692,zoo,名詞,動物園
