,基金名稱,幣別,淨值,漲跌,比例,日期
84,富蘭克林華美特別股收益基金-NB分配型,人民幣,7.90,0.01,0.13%,11/25
86,富蘭克林華美特別股收益基金-B分配型,南非幣,8.32,0.02,0.24%,11/25
88,富蘭克林華美特別股收益基金-NB分配型,南非幣,8.32,0.02,0.24%,11/25
90,富蘭克林華美AI新科技基金,台幣,7.99,-0.08,-0.99%,11/25
92,富蘭克林華美AI新科技基金,美元,7.41,0.00,0.00%,11/25
94,富蘭克林華美AI新科技基金,人民幣,8.16,0.05,0.62%,11/25
96,富蘭克林華美AI新科技基金,南非幣,8.34,0.05,0.60%,11/25
98,富蘭克林華美AI新科技基金-N類型,台幣,7.99,-0.08,-0.99%,11/25
100,富蘭克林華美AI新科技基金-N類型,美元,7.41,0.00,0.00%,11/25
102,富蘭克林華美AI新科技基金-N類型,人民幣,8.16,0.05,0.62%,11/25
